iter	MAE
0	265.3753075
1	257.6289147
2	250.6741521
3	243.4691177
4	236.5554919
5	229.972989
6	223.4957653
7	217.2620489
8	211.1923323
9	205.620483
10	199.9869161
11	194.5388146
12	189.3551083
13	184.592812
14	179.6550143
15	174.9270488
16	170.4289609
17	166.0248124
18	161.7597506
19	157.814752
20	153.827224
21	150.0492729
22	146.349083
23	142.9507129
24	139.6461279
25	136.5701081
26	133.3938254
27	130.3447652
28	127.4441872
29	124.6061624
30	121.8755062
31	119.3207984
32	116.9455862
33	114.4227976
34	112.2754764
35	109.9378809
36	107.9376969
37	105.7753945
38	103.676402
39	101.6566592
40	99.76420186
41	98.00789201
42	96.21860882
43	94.47857739
44	92.74447067
45	91.11412723
46	89.57954683
47	88.13790953
48	86.64729647
49	85.34832944
50	83.89195244
51	82.58885348
52	81.31161352
53	80.11522334
54	78.92371333
55	77.72456919
56	76.63741484
57	75.54103253
58	74.51939362
59	73.65157002
60	72.8504101
61	72.04065403
62	71.20401017
63	70.31190494
64	69.53795558
65	68.72993794
66	67.9657135
67	67.29755869
68	66.63606774
69	65.92410638
70	65.33936005
71	64.77433316
72	64.23308411
73	63.73315084
74	63.25439216
75	62.80243924
76	62.29782605
77	61.85171819
78	61.47679698
79	61.08040616
80	60.6633323
81	60.22526766
82	59.83848299
83	59.37954523
84	58.98646524
85	58.62041245
86	58.33291482
87	58.03242607
88	57.70952707
89	57.42959361
90	57.08311377
91	56.72236982
92	56.5128152
93	56.23946045
94	55.96755758
95	55.66556732
96	55.47061484
97	55.21712956
98	54.94446415
99	54.69769915
100	54.47857227
101	54.18690432
102	53.9726702
103	53.75353651
104	53.52826862
105	53.32013667
106	53.09690212
107	52.97032977
108	52.76868665
109	52.60444888
110	52.50467616
111	52.29623635
112	52.14726397
113	51.99340527
114	51.80394927
115	51.6316139
116	51.51310684
117	51.37431043
118	51.24315268
119	51.13511704
120	51.05989643
121	50.96100708
122	50.82382818
123	50.71089482
124	50.55016047
125	50.45646331
126	50.29221149
127	50.21064511
128	50.13454672
129	50.02376842
130	49.9062604
131	49.8258203
132	49.74336348
133	49.65327793
134	49.56808795
135	49.49267843
136	49.4107319
137	49.28138921
138	49.19910698
139	49.13933824
140	49.05381498
141	48.95404187
142	48.8992902
143	48.83856797
144	48.73255013
145	48.65567597
146	48.54203819
147	48.4831641
148	48.39085218
149	48.28967697
150	48.22864953
151	48.11727008
152	48.05438041
153	47.99180456
154	47.89915367
155	47.82781752
156	47.75157644
157	47.71111028
158	47.63441076
159	47.59260367
160	47.48119094
161	47.40926031
162	47.36596033
163	47.32195582
164	47.28024658
165	47.23659295
166	47.20956662
167	47.16322263
168	47.10837896
169	47.08090971
170	47.04129756
171	47.01800801
172	46.97851415
173	46.8985627
174	46.84094904
175	46.77845332
176	46.70790894
177	46.66676984
178	46.62468612
179	46.60502002
180	46.55674877
181	46.49318679
182	46.44135347
183	46.3836618
184	46.33783513
185	46.30184191
186	46.24593667
187	46.1915337
188	46.15462282
189	46.14498452
190	46.10859916
191	46.03337557
192	46.00766366
193	45.9103543
194	45.86843715
195	45.82915097
196	45.73752132
197	45.7169097
198	45.67261627
199	45.58721997
200	45.52890632
201	45.50110271
202	45.44833803
203	45.39491517
204	45.36310775
205	45.30411233
206	45.24645387
207	45.22436851
208	45.19832147
209	45.15619906
210	45.12691486
211	45.06210622
212	45.02363282
213	45.00287419
214	44.9858595
215	44.94764957
216	44.92322576
217	44.86824773
