building_num,temperature,precipitation,windspeed,humidity,sin_weekday,cos_weekday,sin_hour,cos_hour,month_6,month_7,month_8,holiday,DI,CDH,day_hour_mean,day_hour_std,hour_mean,hour_std,weekday_mean,weekday_std
30,0.012259287,0.009884678,0.01145665,0.044853922,0.027611837,0.011236871,0.009494087,0.049935486,0.0077412394,0.01973938,0.018027289,0.0156222405,0.009884315,0.05500707,0.66073644,0.023103476,0.0051150247,0.0082907295,0.0,0.0
31,0.008426241,0.0026147778,0.0045541297,0.00894848,0.016340215,0.013222328,0.01536572,0.035137936,0.016454842,0.0046568527,0.0069758045,0.004549039,0.039528728,0.044642914,0.7200783,0.040761597,0.0074880864,0.010253968,0.0,0.0
32,0.0594989,0.0012066712,0.0019811294,0.04073933,0.011001874,0.0081225205,0.010897052,0.0030960098,0.01239911,0.022823898,0.008438663,0.0083075585,0.72345656,0.05479376,0.009818294,0.005382678,0.013921615,0.0041144295,0.0,0.0
33,0.041816898,0.0009879395,0.0015847229,0.042188704,0.0025592777,0.0066345464,0.0021852318,0.008355808,0.4190252,0.010212118,0.044981096,0.014904643,0.36020812,0.015689448,0.015197407,0.002431215,0.010609133,0.00042842608,0.0,0.0
34,0.18259934,0.0011379935,0.0019215002,0.07019848,0.0046994737,0.004831788,0.0027717766,0.0054644453,0.10034181,0.0061171744,0.0075521604,0.008831381,0.5361515,0.007883266,0.0071144,0.026257385,0.024982154,0.0011440252,0.0,0.0
35,0.35041693,0.0048577306,0.0050077406,0.085543804,0.012928942,0.019880448,0.00504011,0.013959131,0.011840207,0.0063690925,0.02830141,0.008547428,0.40459,0.008240652,0.01909642,0.0059186076,0.007885224,0.0015761384,0.0,0.0
36,0.19883958,0.01836714,0.011271814,0.0687126,0.029996702,0.028651947,0.007207101,0.014112187,0.030823104,0.06740028,0.16523048,0.026237225,0.034781054,0.026057892,0.20576447,0.023626305,0.008296601,0.034623563,0.0,0.0
37,0.002679224,0.008685901,0.00276495,0.0030248952,0.0012591261,0.0033683684,0.0040237964,0.019752255,0.021397447,0.0011023676,0.0018795349,0.00035586444,0.01203776,0.0042829076,0.867125,0.004024686,0.026117072,0.016118899,0.0,0.0
38,0.007568687,0.00078210345,0.0026856246,0.010948086,0.002910088,0.012807544,0.003999487,0.022033969,0.021087522,0.0141143035,0.0003017386,0.0009470093,0.010037538,0.001866526,0.8563825,0.003159171,0.028143788,0.00022426002,0.0,0.0
39,0.009871587,0.004747738,0.00045764726,0.005317318,0.0006369615,0.00017872339,0.013128854,0.0043809107,0.013121863,0.06449282,0.014222498,0.00027343232,0.003351791,0.0023756907,0.8581249,0.00078457734,0.004108746,0.00042397,0.0,0.0
40,0.008701956,0.023628516,0.0058009014,0.003623078,0.0025559894,0.003765892,0.0031768074,0.0035579072,0.023144852,0.003340726,0.023631275,0.0014511773,0.00571796,0.008409987,0.8581301,0.013604305,0.0068966704,0.0008619146,0.0,0.0
41,0.0018147078,0.008186394,0.0018350016,0.0017629686,0.0024651913,0.014919697,0.0058968826,0.0458403,0.01765097,0.0013569425,0.008523885,0.00071120064,0.001903301,0.0041470826,0.7296664,0.0015716621,0.14861503,0.003132309,0.0,0.0
42,0.007446177,0.0019183004,0.007210291,0.008286099,0.003253538,0.0025932628,0.0076000793,0.009993835,0.011832058,0.0006234988,0.009330289,0.0002688049,0.01465471,0.012600393,0.839981,0.011941182,0.015539908,0.03492667,0.0,0.0
43,0.0058714524,0.00014850151,0.00043188196,0.000512141,0.001715917,0.00055484724,0.0012340458,0.08840444,0.11169819,0.0018646611,0.0005009059,0.00060529844,0.015193117,0.0018191746,0.7667049,0.002031287,0.0006176358,9.162321e-05,0.0,0.0
44,0.035637483,0.00035872954,0.0009380917,0.0015847689,0.0021847647,0.0004939275,0.009468621,0.14958347,0.011262127,0.00039508587,0.0005549435,0.0010836386,0.012040452,0.0013299192,0.7702036,0.00066693826,0.001687313,0.0005259956,0.0,0.0
45,0.01879296,0.0021428908,0.0058340062,0.0090262825,0.0030634375,0.012962143,0.0037881855,0.0021823095,0.103047535,0.0110441195,0.030306503,0.008700185,0.018311549,0.037467435,0.7236173,0.004205553,0.0045800298,0.00092749397,0.0,0.0
46,0.007819855,0.003940537,0.0036057585,0.015728893,0.004375151,0.009756445,0.0090188105,0.00593074,0.034652498,0.0038647775,0.023537094,0.010047546,0.06346947,0.070982575,0.688772,0.005443775,0.028354568,0.010699425,0.0,0.0
47,0.052263245,0.007996862,0.0074667255,0.015346682,0.024755273,0.0071863793,0.004984835,0.008701815,0.10301776,0.016087035,0.007809984,0.018279603,0.026224418,0.074786626,0.57269067,0.016372385,0.032445896,0.0035838373,0.0,0.0
48,0.031830885,0.0010018079,0.0047374913,0.0129298605,0.0014767403,0.005551344,0.005242009,0.015511041,0.0057585416,0.0052069584,0.019554323,0.0064477036,0.035018075,0.054191474,0.7778847,0.0046097585,0.0057512075,0.0072961096,0.0,0.0
49,0.07947152,0.0030716097,0.0039734244,0.018141625,0.009906891,0.006343832,0.003708641,0.0219368,0.08567772,0.021155803,0.031939443,0.009663526,0.04353075,0.036156163,0.58037704,0.0065417807,0.02917176,0.009231619,0.0,0.0
50,0.10192629,0.0030186763,0.0034124565,0.030321833,0.00967208,0.00987311,0.0037331355,0.0022998212,0.07311951,0.0072441474,0.013697098,0.002505829,0.16509144,0.012404047,0.5507751,0.00428201,0.004622245,0.0020011377,0.0,0.0
51,0.07266143,0.0011020674,0.0061843465,0.009093337,0.0102510955,0.0053793145,0.0076030022,0.01140761,0.01863098,0.007891107,0.018356502,0.0036608982,0.026317114,0.043961372,0.6971117,0.011282023,0.04085648,0.008249582,0.0,0.0
52,0.095721364,0.00340223,0.0081287045,0.007551067,0.002984939,0.0039200834,0.0032730391,0.003682594,0.013653525,0.0013372005,0.0068296334,0.0093621,0.02049711,0.0075341845,0.7339857,0.012016856,0.0625357,0.003583929,0.0,0.0
53,0.0049130977,0.0044192118,0.026718797,0.017943472,0.002607229,0.030102191,0.0026922876,0.015603987,0.13735804,0.008352679,0.003956828,0.004619872,0.02560574,0.006138347,0.69156253,0.008014662,0.006032215,0.00335886,0.0,0.0
54,0.018654872,0.0053947316,0.0050537027,0.0027681156,0.016987225,0.0038299924,0.008604253,0.0057589547,0.065146126,0.0135697825,0.0367437,0.0036247256,0.008293152,0.005151324,0.7718802,0.00795785,0.016644035,0.003937207,0.0,0.0
55,0.0074441736,0.003923451,0.0076008863,0.0274085,0.0091403425,0.016911292,0.007049682,0.008119366,0.07134876,0.007474787,0.006147081,0.009107415,0.019488167,0.030432241,0.73624295,0.0076635405,0.01730295,0.007194501,0.0,0.0
56,0.014269673,0.002221083,0.005642005,0.02282775,0.005568412,0.008287948,0.0042631966,0.010471168,0.0053233327,0.0039548087,0.026159188,0.010224073,0.028312145,0.03962462,0.719838,0.0115536405,0.07992762,0.0015312638,0.0,0.0
57,0.0036406883,0.0015658254,0.0044331066,0.0065529854,0.002223608,0.0046841083,0.003367901,0.009401151,0.053658485,0.0036527843,0.00729132,0.0015424867,0.011282838,0.011157844,0.8542503,0.0071832924,0.0112458225,0.0028653913,0.0,0.0
58,0.0074860295,0.00094248645,0.0040018475,0.008952633,0.0057045803,0.017364243,0.00161398,0.0022365225,0.5973111,0.005745757,0.0030418932,0.004291728,0.007139715,0.007063108,0.31491026,0.0023005446,0.0075237607,0.0023697657,0.0,0.0
59,0.01413186,0.0013296695,0.013272775,0.0148156565,0.0035182994,0.012750766,0.007165609,0.014986743,0.01923042,0.0010868454,0.031724446,0.0034415093,0.025720483,0.022182798,0.79265755,0.01252835,0.0027415743,0.0067146537,0.0,0.0
60,0.005078122,0.005073886,0.012204953,0.022365784,0.009385498,0.011169428,0.004005132,0.010197559,0.06591451,0.011004304,0.006858534,0.01222299,0.015434274,0.028729144,0.7399277,0.018810993,0.010534312,0.011082738,0.0,0.0
61,0.026816798,0.005069038,0.0026231995,0.012327895,0.0058442485,0.0039805016,0.009652713,0.009953299,0.11229975,0.011506549,0.0052118283,0.009220957,0.035966333,0.22231483,0.46491194,0.011997026,0.04298424,0.007318783,0.0,0.0
62,0.033561435,0.0023764563,0.0025373017,0.014944243,0.0042994,0.0029795687,0.0050952504,0.008513142,0.36317354,0.0051883496,0.0028743066,0.02172039,0.038483184,0.09653978,0.35732993,0.01425118,0.022911174,0.003221329,0.0,0.0
63,0.056945298,0.0026666916,0.004313824,0.018599225,0.010418643,0.0054415385,0.008939395,0.011686052,0.12701206,0.0048253555,0.04728055,0.010974175,0.032861464,0.1903552,0.3895574,0.032474533,0.016296005,0.02935251,0.0,0.0
64,0.101728536,0.0016899765,0.0016780173,0.004361283,0.0070142057,0.002616527,0.0051440895,0.0061755,0.3463049,0.003867755,0.0038327468,0.012415466,0.054241467,0.07272408,0.3095378,0.009893755,0.049165282,0.007608627,0.0,0.0
65,0.026667848,0.0039840695,0.0055556414,0.004053696,0.0047613597,0.0018171291,0.0026405295,0.01207483,0.5060995,0.13250971,0.008546926,0.006243006,0.018157598,0.023501825,0.19029698,0.015166678,0.030494986,0.007427685,0.0,0.0
66,0.07497298,0.001378893,0.0048170686,0.013284983,0.010796441,0.0039424715,0.008394818,0.010921305,0.17254114,0.009834749,0.024117205,0.008364649,0.036340725,0.2599293,0.15619081,0.09719729,0.0986121,0.008363152,0.0,0.0
67,0.11199511,0.004845557,0.016524533,0.005854164,0.0049109347,0.008019137,0.0046665855,0.008606552,0.34342906,0.035567828,0.036525365,0.0039931457,0.06314247,0.017663853,0.28844047,0.008448346,0.03065526,0.006711553,0.0,0.0
68,0.031875357,0.0017158373,0.0034913786,0.008121364,0.0058541954,0.0032473616,0.008206387,0.009908602,0.17080122,0.0041718385,0.0045955568,0.028179785,0.043987907,0.18703319,0.45073423,0.013789368,0.018346053,0.0059403526,0.0,0.0
69,0.014293461,0.0008231407,0.013866898,0.008548299,0.0025750354,0.0034133776,0.0059187957,0.019896453,0.035645846,0.0019063336,0.0034651349,0.001986555,0.017669499,0.062012997,0.7363385,0.011013778,0.048365563,0.012260392,0.0,0.0
70,0.007858807,0.010750594,0.006058223,0.013169747,0.007773131,0.02333366,0.0031966509,0.0045705438,0.010786961,0.07387975,0.019447077,0.05714354,0.008498516,0.033477746,0.6951368,0.005046223,0.009337465,0.010534583,0.0,0.0
71,0.007425494,0.02400131,0.008887461,0.03242836,0.014836,0.016070887,0.004235562,0.020748274,0.13477698,0.008839448,0.01330438,0.026479065,0.035893477,0.10305858,0.47065476,0.020817509,0.028290778,0.029251635,0.0,0.0
72,0.013711627,0.0013829516,0.011311962,0.017653715,0.005339333,0.0071229786,0.0025323713,0.0016883772,0.08495292,0.042420357,0.29744706,0.007463507,0.019271309,0.06539935,0.38464946,0.0065734494,0.025383554,0.005695675,0.0,0.0
73,0.02577086,0.004826025,0.003576514,0.014462956,0.0054511055,0.008954637,0.0022785107,0.0035564618,0.693622,0.006622506,0.016903006,0.0037965786,0.03435452,0.00849752,0.14851363,0.0037464164,0.011059776,0.0040069786,0.0,0.0
74,0.0050529083,0.0016177519,0.018894542,0.0073697837,0.020636437,0.032544103,0.004947837,0.0031423336,0.1799568,0.0006736141,0.0048632664,0.043889727,0.014412184,0.0073212064,0.6310758,0.0059339423,0.016900236,0.0007675775,0.0,0.0
75,0.015913814,0.0031899665,0.021380305,0.022797583,0.011466628,0.012233136,0.0041328855,0.0032278078,0.29863352,0.007241244,0.004790739,0.022751467,0.043254495,0.01881222,0.46617916,0.03557614,0.005115458,0.0033034445,0.0,0.0
76,0.008205439,0.003118646,0.008485065,0.02347581,0.0064659677,0.025656631,0.0054437337,0.022793403,0.30705065,0.024950719,0.012094562,0.011859426,0.020227281,0.05207302,0.4283501,0.008080605,0.01787478,0.0137941465,0.0,0.0
77,0.015912091,0.0025601252,0.0078774905,0.014931155,0.009958306,0.03529603,0.013878254,0.00685373,0.039710954,0.00199755,0.001551933,0.020362232,0.006675152,0.01651358,0.7662236,0.00455641,0.014736076,0.020405225,0.0,0.0
78,0.014246948,0.00086389174,0.0043993406,0.011975905,0.005164864,0.018716734,0.019679775,0.004897264,0.025534227,0.0019843571,0.002686432,0.0007219072,0.014017786,0.032482143,0.8248106,0.0073670894,0.00092623284,0.009524543,0.0,0.0
79,0.008806649,0.0029192741,0.004526534,0.012224911,0.021137834,0.008928964,0.004203152,0.01775926,0.013382195,0.015715532,0.0055207903,0.014721673,0.022528058,0.030895656,0.76093405,0.006777886,0.04814496,0.0008725529,0.0,0.0
80,0.0072852653,0.0013435327,0.014006392,0.009239307,0.0017159668,0.019813525,0.011454859,0.0079647675,0.078472175,0.019051535,0.0003626231,0.004157887,0.008462783,0.036274407,0.7200977,0.037896834,0.016302528,0.0060980055,0.0,0.0
81,0.0018967096,0.0003186907,0.00072247104,0.0019158592,0.0012738504,0.0005004569,0.008261143,0.0512848,0.075695485,0.0019235172,0.0011682861,0.0010734801,0.015174547,0.0023342655,0.8204867,0.0019088599,0.01357601,0.00048484074,0.0,0.0
82,0.0068899984,0.00084433885,0.008649272,0.013503273,0.001321211,0.013683453,0.007806028,0.004061775,0.16515066,0.0038493755,0.0008671226,0.0064285086,0.011442134,0.010733873,0.69847584,0.017624903,0.026550077,0.0021181093,0.0,0.0
83,0.007955427,0.0007715464,0.012437174,0.009329656,0.021945963,0.014565699,0.002918322,0.029721364,0.060368054,0.0025126166,0.00065273006,0.001418586,0.015502654,0.037093587,0.75136316,0.015874289,0.0027656844,0.012803548,0.0,0.0
84,0.01830234,0.0009020392,0.0103021655,0.01277334,0.013111801,0.02394515,0.003851956,0.02195514,0.15047078,0.0009975464,0.000884372,0.0017180654,0.00591904,0.009649297,0.6228958,0.01414082,0.02095111,0.067229256,0.0,0.0
85,0.008170436,0.00095006777,0.0009999733,0.00398182,0.0025842546,0.0018601206,0.007339446,0.01069747,0.07822622,0.025898509,0.012644215,0.0011240917,0.03960932,0.003527325,0.3570262,0.0037607444,0.44130763,0.00029212775,0.0,0.0
86,0.010552633,0.0033390773,0.005151417,0.009558197,0.009312021,0.0033133172,0.005557281,0.0061297514,0.029604524,0.0025463763,0.03978086,0.0018274587,0.006112968,0.01029744,0.7915682,0.014968963,0.05027607,0.00010348098,0.0,0.0
87,0.011369813,0.0037553345,0.004006696,0.0029832562,0.0022476558,0.0032794673,0.0031751269,0.010484256,0.103546284,0.0082840845,0.22966443,0.02380145,0.012497436,0.0049213986,0.54427654,0.0106876,0.008921554,0.012097639,0.0,0.0
88,0.0048755594,0.002238198,0.0032637352,0.0022145365,0.0013915283,0.0005883132,0.0021166573,0.009067454,0.026344288,0.0016419549,0.00054290664,0.00084016187,0.006046464,0.0034635281,0.2982705,0.005820872,0.62894064,0.002332716,0.0,0.0
89,0.008003063,0.0024969394,0.004907767,0.006184843,0.0022092129,0.0015381654,0.0060918154,0.004568968,0.11805122,0.0026368597,0.0062438147,0.014109879,0.012426137,0.008007119,0.7202646,0.02127108,0.0563928,0.004595669,0.0,0.0
90,0.005671764,0.0009257892,0.0025446718,0.013748061,0.0012521597,0.0037162013,0.0060122474,0.023809267,0.019630164,0.0015210906,0.0021125432,0.0002517883,0.027513662,0.0069775446,0.43527052,0.00857037,0.39660716,0.043865092,0.0,0.0
91,0.0075551714,0.0058978847,0.0019403441,0.0031446072,0.0018050981,0.0035211977,0.004825718,0.0038819355,0.010352516,0.0018786391,0.0049970266,0.0034620266,0.010141093,0.0054064807,0.91962403,0.004695446,0.0064731287,0.0003976579,0.0,0.0
92,0.0066147204,0.0019817925,0.004761004,0.009792185,0.004949368,0.0039678076,0.004021301,0.008100783,0.013943043,0.0024697466,0.0047213505,0.0051977113,0.004845708,0.008418541,0.8587925,0.009344647,0.039065693,0.009012152,0.0,0.0
93,0.011192111,0.0018776205,0.00274441,0.0061308723,0.003062867,0.003510478,0.0116359545,0.003930439,0.061193913,0.006073047,0.20025524,0.005378412,0.05350988,0.0036621518,0.6069328,0.006131355,0.011442382,0.0013359954,0.0,0.0
94,0.04965099,0.0035408202,0.0026377146,0.009445607,0.0065520285,0.0072398665,0.0023167734,0.007642975,0.08218076,0.00822857,0.060168196,0.0031089394,0.08685235,0.009086677,0.5320985,0.0060049305,0.11809667,0.0051477384,0.0,0.0
95,0.0141242165,0.009275708,0.0106912395,0.013186954,0.025377832,0.011293171,0.010554609,0.01207439,0.26002568,0.08359805,0.08820188,0.046821926,0.024267199,0.017503893,0.31428412,0.017925661,0.016850635,0.023942921,0.0,0.0
96,0.012769473,0.000550299,0.002032149,0.001333976,0.0018898941,0.0022773065,0.00357017,0.0012060208,0.58068293,0.0020743343,0.0021517847,0.003875609,0.0082434425,0.002610926,0.34010127,0.0015644899,0.032351006,0.0007149307,0.0,0.0
97,0.049793195,0.002446037,0.002213093,0.0031484885,0.009927005,0.006840102,0.004500293,0.0054275994,0.05499874,0.0087720705,0.1339338,0.009364564,0.08883996,0.0059728296,0.5690569,0.005475054,0.03824293,0.0010472814,0.0,0.0
98,0.04044683,0.006135599,0.004509897,0.007904879,0.004982442,0.003014603,0.0051670433,0.0046027903,0.16149545,0.020585,0.0137254,0.005902847,0.028111564,0.007348192,0.6647457,0.007399113,0.010298894,0.0036237407,0.0,0.0
99,0.06263617,0.0023023617,0.0013717558,0.003681927,0.0024879524,0.001668949,0.0012178407,0.002643168,0.032431144,0.002520354,0.01494866,0.0049523464,0.0629903,0.009351644,0.69639933,0.020412922,0.041366816,0.036616415,0.0,0.0
100,0.06107243,0.0013810786,0.0014885683,0.004937107,0.0030982047,0.0036929639,0.008564483,0.01012076,0.05718941,0.0042651035,0.012826902,0.0024872522,0.019137997,0.0061601955,0.5822457,0.0047406233,0.21550414,0.0010870792,0.0,0.0
